page,title,is_free,url,skills
1,Data Engineering on AWS - Foundations,True,https://www.coursera.org/learn/data-engineering-on-aws-foundations,"Infrastructure as Code (IaC),Serverless Computing,CI/CD,Data Infrastructure,Amazon Web Services,Data Architecture,AWS Identity and Access Management (IAM),AWS CloudFormation,Data Warehousing,Security Controls,Amazon CloudWatch,Terraform,Requirements Analysis"
1,Introduction to Modern Data Engineering with Snowflake,True,https://www.coursera.org/learn/data-engineering-snowflake,"Data Pipelines,Data Transformation,Extract, Transform, Load,Data Presentation,Data Integration,Data Warehousing,Data Processing,Data Import/Export,Stored Procedure,Data Sharing,SQL,Automation,Command-Line Interface"
2,"Data Engineering: Pipelines, ETL, Hadoop",True,https://www.coursera.org/learn/data-engineering-pipelines-etl-hadoop,"Data Pipelines,Apache Hadoop,Extract, Transform, Load,Data Transformation,Apache Hive,Data-Driven Decision-Making,Big Data,Data Warehousing,Data Infrastructure,Data Lakes,Data Architecture,Apache Spark,Data Integration,Data Processing,SQL Server Integration Services (SSIS),Data Management"
3,Foundations of Data Science: K-Means Clustering in Python,True,https://www.coursera.org/learn/data-science-k-means-clustering-python,"Matplotlib,Probability & Statistics,Data Visualization Software,Scatter Plots,Data Science,Unsupervised Learning,Statistics,NumPy,Python Programming,Pandas (Python Package),Machine Learning Algorithms,Data Analysis,Machine Learning,Data Manipulation"
4,Introduction to Statistics,True,https://www.coursera.org/learn/stanford-statistics,"Descriptive Statistics,Statistics,Statistical Methods,Sampling (Statistics),Statistical Analysis,Data Analysis,Statistical Hypothesis Testing,Regression Analysis,Statistical Inference,Probability,Exploratory Data Analysis,Quantitative Research,Probability Distribution,Correlation Analysis"
4,From Excel to Power BI,True,https://www.coursera.org/learn/from-excel-to-power-bi,"Power BI,Dashboard,Data Presentation,Data Visualization Software,Interactive Data Visualization,Data Import/Export,Business Intelligence,Microsoft Excel,Data Analysis,Data-Driven Decision-Making,Data Modeling"
6,Process Mining: Data science in Action,True,https://www.coursera.org/learn/process-mining,"Business Process,Process Analysis,Process Improvement,Business Process Management,Data Mining,Business Process Modeling,Process Optimization,Operational Analysis,Performance Analysis,Data Analysis,Real Time Data,Data Science,Verification And Validation"
7,Data Analytics for Lean Six Sigma,True,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,"Lean Six Sigma,Data Visualization,Statistical Hypothesis Testing,Minitab,Regression Analysis,Probability Distribution,Statistical Methods,Data Analysis,Statistical Analysis,Analytics,Process Improvement,Quality Control,Variance Analysis"
7,Data Privacy Fundamentals,True,https://www.coursera.org/learn/northeastern-data-privacy,"Information Privacy,Personally Identifiable Information,Data Ethics,Law, Regulation, and Compliance,Data Security,Journalism,Emerging Technologies,Digital Communications,Data Collection,Internet Of Things,Machine Learning,Artificial Intelligence"
8,Data Science in Stratified Healthcare and Precision Medicine,True,https://www.coursera.org/learn/datascimed,"Bioinformatics,Image Analysis,Medical Science and Research,Big Data,Statistical Methods,Data Science,Data Mining,Statistical Modeling,Health Care,Machine Learning,Natural Language Processing,Probability & Statistics,Data Analysis,Text Mining,Unstructured Data,Data Processing,Data Integration,Network Analysis,Supervised Learning"
